 ID;PAGE;SPANISH_TITLE;SPANISH_BODY;ENGLISH_TITLE;ENGLISH_BODY 
 mercurio_page_1;1;Visión general;Mercurio es el planeta más pequeño y el más cercano al Sol. Es un mundo rocoso parecido a la Luna, lleno de cráteres y acantilados.;Overview;Mercury is the smallest planet and the closest one to the Sun. It is a rocky world similar to our Moon, full of craters and cliffs. 
 mercurio_page_2;2;Un año muy corto;Mercurio tarda solo 88 días terrestres en dar una vuelta alrededor del Sol. Sin embargo, gira muy despacio sobre sí mismo y un día allí dura casi 59 días de la Tierra.;A very short year;Mercury takes only 88 Earth days to orbit the Sun. However it spins very slowly, so one day on Mercury lasts almost 59 Earth days. 
 mercurio_page_3;3;Temperaturas extremas;De día la superficie puede superar los 400 °C, pero de noche la temperatura cae a más de 100 °C bajo cero. Su exosfera casi no retiene el calor.;Extreme temperatures;By day the surface can reach more than 400 °C, but at night it plunges to more than 100 °C below zero. Its very thin exosphere hardly keeps any heat. 
 mercurio_page_4;4;Exploración espacial;Sondas como Mariner 10 y MESSENGER han fotografiado y medido Mercurio desde el espacio. La misión BepiColombo de ESA y JAXA viaja hacia el planeta para estudiar mejor su superficie, su interior y su campo magnético.;Space exploration;Probes such as Mariner 10 and MESSENGER have taken images and measurements of Mercury from space. The ESA–JAXA mission BepiColombo is travelling to the planet to study its surface, interior and magnetic field. 

 venus_page_1;1;Visión general;Venus es el segundo planeta desde el Sol y casi tiene el tamaño de la Tierra. Está cubierto por una atmósfera muy densa y nubes que esconden su superficie rocosa.;Overview;Venus is the second planet from the Sun and is almost the same size as Earth. It is covered by a very dense atmosphere and thick clouds that hide its rocky surface. 
 venus_page_2;2;Un horno planetario;La atmósfera de Venus está compuesta sobre todo por dióxido de carbono y produce un efecto invernadero muy fuerte. La temperatura en la superficie ronda los 465 °C y la presión es unas 90 veces mayor que en la Tierra.;A planetary oven;Venus’s atmosphere is made mostly of carbon dioxide and creates a powerful greenhouse effect. Surface temperatures are around 465 °C and the pressure is about 90 times higher than on Earth. 
 venus_page_3;3;Un día más largo que un año;Un día en Venus dura unos 243 días terrestres, más que su propio año, que es de unos 225 días. Además gira en sentido contrario al de la Tierra, así que el Sol parecería salir por el oeste y ponerse por el este.;A day longer than a year;One day on Venus lasts about 243 Earth days, longer than its year of about 225 days. It also spins in the opposite direction to Earth, so the Sun would appear to rise in the west and set in the east. 
 venus_page_4;4;Exploración de Venus;Sondas como Magallanes cartografiaron la superficie con radar. La misión europea Venus Express estudió su atmósfera y su clima durante años. Futuras misiones intentarán entender por qué Venus acabó tan diferente a la Tierra.;Exploring Venus;Probes such as Magellan mapped the surface with radar. ESA’s Venus Express mission studied its atmosphere and climate for years. Future missions will try to understand why Venus became so different from Earth. 

 tierra_page_1;1;Nuestro hogar;La Tierra es el tercer planeta desde el Sol y el único del que sabemos que alberga vida. Es un planeta rocoso con océanos, continentes, montañas y glaciares.;Our home;Earth is the third planet from the Sun and the only one known to host life. It is a rocky planet with oceans, continents, mountains and glaciers. 
 tierra_page_2;2;Planeta océano;Alrededor del 70 % de la superficie está cubierta por agua líquida. Esta combinación de agua, atmósfera y temperatura adecuada permite la existencia de una gran diversidad de seres vivos.;Ocean planet;About 70% of Earth’s surface is covered by liquid water. This mix of water, atmosphere and suitable temperatures allows a huge diversity of living things to exist. 
 tierra_page_3;3;Atmósfera protectora;La atmósfera terrestre está compuesta principalmente por nitrógeno y oxígeno. Nos protege de la radiación dañina del espacio y ayuda a mantener una temperatura estable en el planeta.;Protective atmosphere;Earth’s atmosphere is made mainly of nitrogen and oxygen. It shields us from harmful radiation from space and helps keep the planet’s temperature stable. 
 tierra_page_4;4;La Tierra vista desde el espacio;Satélites y astronautas observan la Tierra desde el espacio para estudiar el clima, los océanos, los bosques y los glaciares. Estos datos nos ayudan a comprender mejor cómo está cambiando el planeta.;Earth seen from space;Satellites and astronauts observe Earth from space to study the climate, oceans, forests and ice sheets. These data help us understand how our planet is changing. 

 marte_page_1;1;Visión general;Marte es el cuarto planeta desde el Sol y tiene aproximadamente la mitad del tamaño de la Tierra. Es un desierto frío conocido como el Planeta Rojo por el óxido de hierro de su superficie.;Overview;Mars is the fourth planet from the Sun and about half the size of Earth. It is a cold desert known as the Red Planet because of iron oxide on its surface. 
 marte_page_2;2;Paisajes extremos;En Marte se encuentra el volcán más grande del sistema solar, Olympus Mons, y un enorme sistema de cañones llamado Valles Marineris. Su atmósfera es muy fina y está formada principalmente por dióxido de carbono.;Extreme landscapes;Mars hosts the largest volcano in the Solar System, Olympus Mons, and a giant canyon system called Valles Marineris. Its atmosphere is very thin and made mostly of carbon dioxide. 
 marte_page_3;3;Agua en Marte;Hoy el planeta es muy frío y seco, pero hay muchas pruebas de que en el pasado tuvo ríos, lagos e incluso océanos. Los casquetes polares guardan hielo de agua y dióxido de carbono congelado.;Water on Mars;Today Mars is very cold and dry, but there is strong evidence that it once had rivers, lakes and even oceans. Its polar caps still contain water ice and frozen carbon dioxide. 
 marte_page_4;4;Robots exploradores;Rovers como Curiosity y Perseverance exploran la superficie marciana. Analizan rocas y suelo para buscar señales de que Marte pudo ser habitable o tener vida microscópica en el pasado.;Robotic explorers;Rovers such as Curiosity and Perseverance explore the Martian surface. They analyse rocks and soil, searching for signs that Mars may once have been habitable or even hosted microscopic life. 

 jupiter_page_1;1;El gigante del sistema solar;Júpiter es el quinto planeta desde el Sol y el más grande de todos. Está compuesto sobre todo por hidrógeno y helio y no tiene una superficie sólida definida.;Giant of the Solar System;Jupiter is the fifth planet from the Sun and the largest of all. It is made mostly of hydrogen and helium and has no well-defined solid surface. 
 jupiter_page_2;2;Bandas y tormentas;Su atmósfera muestra bandas de nubes de distintos colores y enormes tormentas. La más famosa es la Gran Mancha Roja, una tormenta que ha durado al menos varios siglos y que es más grande que la Tierra.;Bands and storms;Its atmosphere shows cloud bands of different colours and huge storms. The most famous is the Great Red Spot, a storm that has lasted for at least several centuries and is larger than Earth. 
 jupiter_page_3;3;Lunas y anillos;Júpiter tiene un sistema de anillos muy tenue y decenas de lunas. Las cuatro lunas más grandes, llamadas galileanas, son Ío, Europa, Ganímedes y Calisto y forman pequeños mundos con volcanes, hielo y posibles océanos ocultos.;Moons and rings;Jupiter has a faint ring system and dozens of moons. The four largest, called the Galilean moons, are Io, Europa, Ganymede and Callisto, each a small world with volcanoes, ice and possible hidden oceans. 
 jupiter_page_4;4;Exploración de Júpiter;Desde los sobrevuelos de las Voyager hasta la misión Juno, varias sondas han estudiado Júpiter. La misión europea JUICE visitará el sistema joviano para investigar sus lunas heladas y su potencial para albergar océanos bajo el hielo.;Exploring Jupiter;From the Voyager flybys to the Juno mission, several probes have studied Jupiter. ESA’s JUICE mission will visit the Jovian system to explore its icy moons and their potential underground oceans. 

 saturno_page_1;1;Visión general;Saturno es el sexto planeta desde el Sol y el segundo más grande. Es un gigante gaseoso compuesto sobre todo de hidrógeno y helio.;Overview;Saturn is the sixth planet from the Sun and the second largest. It is a gas giant made mainly of hydrogen and helium. 
 saturno_page_2;2;Los anillos de Saturno;Saturno es famoso por su sistema de anillos brillantes formados por partículas de hielo y roca. Los anillos se extienden a cientos de miles de kilómetros pero son muy delgados.;Saturn’s rings;Saturn is famous for its bright ring system made of countless pieces of ice and rock. The rings stretch hundreds of thousands of kilometres but are very thin. 
 saturn_page_3;3;Un mundo lleno de lunas;El planeta tiene muchas lunas, desde pequeños fragmentos de hielo hasta mundos complejos como Titán y Encélado. Algunas de ellas podrían esconder océanos de agua líquida bajo capas de hielo.;A world of moons;Saturn has many moons, from small icy fragments to complex worlds such as Titan and Enceladus. Some of them may hide liquid water oceans beneath layers of ice. 
 saturno_page_4;4;La misión Cassini;La misión Cassini-Huygens orbitó Saturno durante más de una década. Estudió sus anillos, su atmósfera y sus lunas, y envió una sonda que aterrizó en Titán, revelando mares y ríos de metano líquido.;The Cassini mission;The Cassini–Huygens mission orbited Saturn for more than a decade. It studied its rings, atmosphere and moons and delivered a lander that touched down on Titan, revealing seas and rivers of liquid methane. 

 urano_page_1;1;Gigante helado;Urano es el séptimo planeta desde el Sol y uno de los llamados gigantes de hielo. Está compuesto en gran parte por agua, amoniaco y metano alrededor de un núcleo rocoso.;Ice giant;Uranus is the seventh planet from the Sun and one of the so-called ice giants. It is made largely of water, ammonia and methane around a rocky core. 
 urano_page_2;2;Un planeta tumbado;La característica más extraña de Urano es que rota casi de lado, con un eje inclinado unos 90 grados. Esto provoca estaciones muy largas y extremas en cada hemisferio.;A tilted planet;The strangest feature of Uranus is that it spins almost on its side, with its axis tilted about 90 degrees. This causes very long and extreme seasons in each hemisphere. 
 urano_page_3;3;Color, anillos y lunas;El metano de su atmósfera absorbe la luz roja y le da a Urano su tono azul verdoso. El planeta tiene anillos finos y decenas de lunas con nombres de personajes de obras de Shakespeare y Pope.;Colour, rings and moons;Methane in its atmosphere absorbs red light and gives Uranus its blue-green colour. The planet has faint rings and dozens of moons named after characters from the works of Shakespeare and Pope. 
 urano_page_4;4;Visitas desde lejos;Hasta ahora solo la sonda Voyager 2 ha pasado cerca de Urano, tomando imágenes y datos durante un breve sobrevuelo. Futuras misiones podrían estudiar su interior, sus lunas y sus anillos con mucho más detalle.;Distant visits;So far only the Voyager 2 probe has flown close to Uranus, taking images and data during a brief flyby. Future missions could study its interior, moons and rings in much greater detail. 

 neptuno_page_1;1;El mundo más lejano;Neptuno es el octavo planeta y el más distante del Sol. Es otro gigante de hielo, oscuro y muy frío.;The most distant world;Neptune is the eighth planet and the most distant from the Sun. It is another dark, very cold ice giant. 
 neptuno_page_2;2;Vientos extremos;Su atmósfera está compuesta principalmente por hidrógeno, helio y metano. El metano le da su color azul intenso y en el planeta soplan algunos de los vientos más rápidos del sistema solar.;Extreme winds;Its atmosphere is made mainly of hydrogen, helium and methane. Methane gives Neptune its deep blue colour, and the planet hosts some of the fastest winds in the Solar System. 
 neptuno_page_3;3;Anillos y Tritón;Neptuno posee varios anillos finos y muchas lunas. La mayor es Tritón, un mundo helado que probablemente fue capturado por el planeta y que muestra chorros de material helado saliendo de su superficie.;Rings and Triton;Neptune has several faint rings and many moons. The largest is Triton, an icy world that was probably captured by the planet and shows geyser-like jets of frozen material from its surface. 
 neptuno_page_4;4;Exploración y futuro;La única sonda que ha visitado Neptuno de cerca es Voyager 2, que realizó un sobrevuelo en 1989. Hoy telescopios espaciales siguen observando el planeta, y se estudian ideas para misiones que lo exploren de nuevo.;Exploration and future;The only spacecraft to visit Neptune up close is Voyager 2, which flew by in 1989. Today space telescopes keep observing the planet, and ideas for future missions are being studied. 
